REF_AREA,INDICATOR,SEX,AGE,AGE_AT_BIRTH,WEALTH_QUINTILE,RESIDENCE,MOTHER_EDUCATION,DATA_SOURCE,UNIT_MULTIPLIER,UNIT_MEASURE,SERIES_FOOTNOTE,SUB_SECTOR,TIME_PERIOD,OBS_VALUE,SOWC_FLAG_A,DATA_SOURCE_PRIORITY,OBS_STATUS,OBS_CONF,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,UNWGTD_SAMPL_SIZE,OBS_FOOTNOTE,SOURCE_LINK,TIME_PERIOD_METHOD,COVERAGE_TIME
UNICEF_SA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2918,0,PCNT,,FAMILY_PLANNING,2023,74.4,,1,RA,F,,,,,,,EOF,
CZE,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_679,0,PCNT,,FAMILY_PLANNING,2005,81,,1,RP,F,,,,,,,EOF,
CZE,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_686,0,PCNT,,FAMILY_PLANNING,2008,85.7,,1,RP,F,,,,,,,EOF,
BFA,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2912,0,PCNT,,FAMILY_PLANNING,2022,47.5,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
AFG,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_18,0,PCNT,,FAMILY_PLANNING,2015,42.1,,1,RP,F,,,,,,,EOF,
IND,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1030,0,PCNT,,FAMILY_PLANNING,2002,61.7,,1,RP,F,,,,,,,EOF,
IND,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1035,0,PCNT,,FAMILY_PLANNING,2007,63.9,,1,RP,F,,,,,,,EOF,
MUS,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1440,0,PCNT,,FAMILY_PLANNING,2002,49.6,,1,RP,F,,,,,,,EOF,
IND,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2677,0,PCNT,,FAMILY_PLANNING,2019,74.3,,1,RP,F,,,,,,,EOF,
IND,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1033,0,PCNT,,FAMILY_PLANNING,2005,69.1,,1,RP,F,,,,,,,EOF,
IND,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1043,0,PCNT,,FAMILY_PLANNING,2015,72.8,,1,RP,F,,,,,,,EOF,
MUS,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1444,0,PCNT,,FAMILY_PLANNING,2014,41.9,,1,RP,F,,,,,,,EOF,
SLE,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1962,0,PCNT,,FAMILY_PLANNING,2019,53,,1,RP,F,,,,,,,EOF,
