Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Rwanda,RWA,2023,Agricultural land (sq. km),AG.LND.AGRI.K2,18831.31
Rwanda,RWA,2022,Agricultural land (sq. km),AG.LND.AGRI.K2,19745.073
Rwanda,RWA,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,20044.6
Rwanda,RWA,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,19586
Rwanda,RWA,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,19040
Rwanda,RWA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,19490
Rwanda,RWA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,20050
Rwanda,RWA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,20050
Rwanda,RWA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,20070
Rwanda,RWA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,20060
Rwanda,RWA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,19800
Rwanda,RWA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,19590
Rwanda,RWA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,19430
Rwanda,RWA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,19220
Rwanda,RWA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,19060
Rwanda,RWA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,18800
Rwanda,RWA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,18780
Rwanda,RWA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,18840
Rwanda,RWA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,18810
Rwanda,RWA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,18830
Rwanda,RWA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,18860
Rwanda,RWA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,18880
Rwanda,RWA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,18970
Rwanda,RWA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,18260
Rwanda,RWA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,17170
Rwanda,RWA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,16710
Rwanda,RWA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,16510
Rwanda,RWA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,16010
Rwanda,RWA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,15500
Rwanda,RWA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,15500
Rwanda,RWA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,17550
Rwanda,RWA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,18350
Rwanda,RWA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,18750
Rwanda,RWA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,18780
Rwanda,RWA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,18540
Rwanda,RWA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,18530
Rwanda,RWA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,18420
Rwanda,RWA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,18300
Rwanda,RWA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,18190
Rwanda,RWA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,18080
Rwanda,RWA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,17900
Rwanda,RWA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,17750
Rwanda,RWA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,17600
Rwanda,RWA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,17150
Rwanda,RWA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,16970
Rwanda,RWA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,16800
Rwanda,RWA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,16650
Rwanda,RWA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,16390
Rwanda,RWA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,16120
Rwanda,RWA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,15840
Rwanda,RWA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,15050
Rwanda,RWA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,15080
Rwanda,RWA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,14480
Rwanda,RWA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,14040
Rwanda,RWA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,13970
Rwanda,RWA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,13830
Rwanda,RWA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,13750
Rwanda,RWA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,13650
Rwanda,RWA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,13550
Rwanda,RWA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,13450
Rwanda,RWA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,13350
Rwanda,RWA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,13250
Rwanda,RWA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,13150
Rwanda,RWA,2023,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.3328334008918
Rwanda,RWA,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.0367774625051
Rwanda,RWA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.2509120389137
Rwanda,RWA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.3919740575598
Rwanda,RWA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.1787596270774
Rwanda,RWA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.0028374543981
Rwanda,RWA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.2728009728415
Rwanda,RWA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.2728009728415
Rwanda,RWA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.3538710985002
Rwanda,RWA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.3133360356709
Rwanda,RWA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.2594244021078
Rwanda,RWA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.4081880826915
Rwanda,RWA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,78.759627077422
Rwanda,RWA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.9083907580057
Rwanda,RWA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.2598297527361
Rwanda,RWA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.2059181191731
Rwanda,RWA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.1248479935144
Rwanda,RWA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.3680583704905
Rwanda,RWA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.2464531820024
Rwanda,RWA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.3275233076611
Rwanda,RWA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.4491284961492
Rwanda,RWA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.5301986218079
Rwanda,RWA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.895014187272
Rwanda,RWA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.0170247263883
Rwanda,RWA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.5987028779895
Rwanda,RWA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.7340899878395
Rwanda,RWA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.9233887312525
Rwanda,RWA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.8966355897852
Rwanda,RWA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.8293473854884
Rwanda,RWA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.8293473854884
Rwanda,RWA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1390352655047
Rwanda,RWA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.3818402918525
Rwanda,RWA,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.0032428050263
Rwanda,RWA,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.1248479935144
Rwanda,RWA,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.1520064856101
Rwanda,RWA,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.1114714227807
Rwanda,RWA,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.6655857316579
Rwanda,RWA,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.1791649777057
Rwanda,RWA,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.7332792865829
Rwanda,RWA,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.2873935954601
Rwanda,RWA,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.5577624645318
Rwanda,RWA,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.9497365220916
Rwanda,RWA,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.3417105796514
Rwanda,RWA,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.5176327523308
Rwanda,RWA,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.7880016214025
Rwanda,RWA,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.0989055533036
Rwanda,RWA,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.4908796108634
Rwanda,RWA,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.4369679773004
Rwanda,RWA,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.342521280908
Rwanda,RWA,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.2075395216863
Rwanda,RWA,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0052695581678
Rwanda,RWA,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.1268747466559
Rwanda,RWA,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.694770976895
Rwanda,RWA,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.9112282124037
Rwanda,RWA,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.6274827725983
Rwanda,RWA,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0599918929874
Rwanda,RWA,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.7357113903527
Rwanda,RWA,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.3303607620592
Rwanda,RWA,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.9250101337657
Rwanda,RWA,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.5196595054722
Rwanda,RWA,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.1143088771788
Rwanda,RWA,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.7089582488853
